
Start
0,0.04,0.00
50,0.05,0.05
100,0.06,0.05
150,0.07,0.05
200,0.07,0.06
250,0.07,0.06
300,0.07,0.06
350,0.08,0.06
400,0.08,0.06
450,0.08,0.06
500,0.08,0.06
550,0.09,0.06
600,0.09,0.06
650,0.09,0.06
700,0.09,0.07
750,0.09,0.07
800,0.09,0.07
850,0.09,0.07
900,0.09,0.07
950,0.10,0.07
1000,0.10,0.08
1050,0.10,0.08
1100,0.10,0.08
1150,0.10,0.09
1200,0.10,0.09
1250,0.10,0.09
1300,0.10,0.09
1350,0.10,0.09
1400,0.10,0.09
1450,0.10,0.09
1500,0.10,0.09
1550,0.10,0.09
1600,0.10,0.09
1650,0.10,0.09
1700,0.10,0.09
1750,0.10,0.09
1800,0.10,0.09
1850,0.10,0.09
1900,0.10,0.09
1950,0.10,0.10
2000,0.10,0.10
2050,0.10,0.10
2100,0.11,0.10
2150,0.11,0.10
2200,0.11,0.10
2250,0.11,0.10
2300,0.11,0.10
2350,0.11,0.10
2400,0.11,0.10
2450,0.11,0.10
2500,0.11,0.10
2550,0.11,0.10
2600,0.11,0.10
2650,0.11,0.10
2700,0.11,0.10
2750,0.11,0.10
2800,0.11,0.10
2850,0.11,0.10
2900,0.11,0.10
2950,0.11,0.11
3000,0.11,0.11
3050,0.11,0.11
3100,0.11,0.11
3150,0.11,0.11
3200,0.11,0.11
3250,0.11,0.11
3300,0.11,0.11
3350,0.11,0.11
3400,0.11,0.11
3450,0.11,0.11
3500,0.11,0.11
3550,0.11,0.21
3600,0.11,0.22
3650,0.11,0.22
3700,0.11,0.22
3750,0.11,0.22
3800,0.11,0.22
3850,0.11,0.22
3900,0.11,0.22
3950,0.11,0.22
4000,0.11,0.23
4050,0.11,0.23
4100,0.11,0.23
4150,0.11,0.23
4200,0.12,0.23
4250,0.12,0.24
4300,0.12,0.24
4350,0.12,0.24
4400,0.12,0.24
4450,0.12,0.24
4500,0.12,0.24
4550,0.12,0.24
4600,0.12,0.24
4650,0.12,0.25
